@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
7,3,165.853,121.806,12.3,16.9,11,0.9,97,93,90.1,0,0,0,0,0,1,0,0,0,0
1,1,131.762,80.907,16.5,22.9,9,1.2,17,72,12.8,0,0,12.5,0,0,0,0,0,0,0
2,1,81.318,42.344,19.5,26.8,7.2,0.8,10,69,0,0,0,12.4,0,0,0,0,0,0,0
3,1,62.076,27.908,20,27.3,8.4,0.7,23,72,0,0,0,11.4,0,0,0,0,0,0,0
4,1,47.19,18.063,19.2,28.7,9.5,1.2,73,78,0,0,0,9.3,1,0,1,0,0,0,0
5,1,48.605,52.575,18,20,15.4,1.2,97,93,5.2,0,0,0,0,0,0,0,0,0,0
6,2,102.234,50.592,17,18.3,15.7,1,100,96,11,0,0,0,0,0,1,0,0,0,0
7,3,169.862,69.121,18.2,22.9,10.6,0.6,70,88,18,0,0,3.1,0,0,0,0,0,0,0
1,1,119.849,61.246,16.9,19.4,9,0.9,90,92,6,0,0,0,0,0,0,0,0,0,0
2,1,97.134,65.783,19.3,25.6,13,0.2,63,79,1.1,0,0,6,0,0,0,0,0,0,0
3,1,97.211,45.426,20.6,26.5,13,0.7,37,74,0,0,0,9.1,0,0,0,0,0,0,0
4,1,70.701,29.406,19.3,26.2,11.4,0.6,43,78,0,0,0,6.1,0,0,1,0,0,0,0
5,1,69.228,22.068,19.8,26.3,11,1.9,87,77,0.1,0,0,5.9,0,0,0,0,0,0,0
6,2,60.363,19.294,20.4,26.1,16,1.3,40,75,0,0,0,9.4,0,0,0,0,0,0,0
7,3,56.724,17.157,20.7,28.2,10.5,0.6,50,72,0,0,0,8.6,0,0,0,0,0,0,0
1,1,53.168,15.064,21.1,27.9,11.1,0.7,50,74,0,0,0,8.5,0,0,0,0,0,0,0
2,1,50.42,14.735,21.4,29.5,12,0.9,50,66,0,0,0,9.2,0,0,0,0,0,0,0
3,1,47.84,13.772,22,30.5,14.1,1.4,43,69,0,0,0,10.9,0,0,0,0,0,0,0
4,1,43.841,13.341,21.5,28.3,11,0.4,80,75,0,0,0,5.7,0,0,0,0,0,0,0
5,1,41.914,13.07,19.8,27.1,11,1.2,77,79,0,0,0,6.3,0,0,1,0,0,0,0
6,2,41.644,21.547,19.3,24.1,14.6,0.5,57,82,3.3,0,0,4.7,0,0,0,0,0,0,0
7,3,38.42,16.3,19.9,26,11.3,0.7,50,77,0,0,0,9.2,0,0,0,0,0,0,0
1,1,39.956,12.421,21.1,27.7,10.5,0.5,50,75,0,0,0,8.1,0,0,0,0,0,0,0
2,1,36.805,12.259,21.1,27.5,12,0.9,47,73,0,0,0,7.8,0,0,0,0,0,0,0
3,1,40.843,11.693,20.5,27.9,11,0.1,60,78,0,0,0,7.7,0,0,0,0,0,0,0
4,1,37.586,10.972,20.6,27.5,12,0.6,50,76,13.7,0,0,8.9,0,0,0,0,0,0,0
5,1,40.843,10.309,21.3,28.2,11.4,1.2,40,72,0,0,0,8.1,0,0,0,0,0,0,0
6,2,57.94,10.705,13.2,21.1,13.3,1.4,97,88,0,0,0,0,1,0,0,0,0,0,0
7,3,58.998,11.61,12.7,15,10.8,0.6,77,87,8.9,0,0,0.7,0,0,0,0,0,0,0
1,1,67.828,73.237,12.7,15.5,11,1.6,50,80,63.4,0,0,6.2,0,0,1,0,0,0,0
2,1,61.145,67.649,9.8,15.8,2,0.9,57,71,0,0,0,7.2,0,0,0,0,0,0,0
3,1,53.164,28.601,9,16.1,-1.3,0.9,7,69,0,0,0,10.9,0,0,0,0,0,0,0
4,1,45.921,20.685,11.6,21.1,-0.4,0.6,10,70,0,0,0,10.1,0,0,0,0,0,0,0
5,1,39.134,16.254,13.6,23,1.7,0.3,3,67,0,0,0,10.4,0,0,0,0,0,0,0
6,2,38.598,13.322,12.5,19.3,4.3,1.3,57,64,0,0,0,8.2,0,0,0,0,0,0,0
7,3,37.626,12.484,10,17.2,-0.5,1,7,70,0,0,0,10.4,0,0,0,0,0,0,0
1,1,38.117,11.761,10.4,15.1,0.3,0.5,93,83,0,0,0,2.6,0,0,0,0,0,0,0
2,1,37.683,12.63,10.3,15.1,8.6,0.5,50,76,12,0,0,3.4,0,0,0,0,0,0,0
3,1,37.164,11.738,11.2,18.5,0.5,0.3,57,80,0,0,0,7.6,0,0,0,0,0,0,0
4,1,38.684,10.476,12,19.3,3.5,0.6,40,76,0,0,0,8.8,0,0,0,0,0,0,0
5,1,36.034,9.853,11.9,19.6,2.5,0.7,53,76,0,0,0,7.8,0,0,0,0,0,0,0
6,2,37.284,9.61,14.5,18.8,6.7,0.3,83,81,0,0,0,3.8,0,0,0,0,0,0,0
7,3,49.651,51.032,16.5,19.5,13.1,0.3,93,88,26.7,0,0,1.5,0,0,0,0,0,0,0
1,1,54.735,50.44,16.4,19.7,14,0,93,88,0.3,0,0,2,0,0,0,0,0,0,0
2,1,40.667,42.236,14.9,21.1,9,0,63,85,0.2,0,0,5.1,0,0,0,0,0,0,0
3,1,39.973,27.237,14.8,21.5,8.3,0.5,43,79,0,0,0,7,0,0,0,0,0,0,0
4,1,36.225,22.126,13.9,21.5,4.6,0.7,37,81,0,0,0,7.6,0,0,0,0,0,0,0
5,1,39.191,18.28,13.9,21.3,5.6,0.1,37,83,0,0,0,6.3,0,0,0,0,0,0,0
6,2,34.723,16.652,13.6,21.3,5.1,0.3,37,81,0,0,0,6.7,0,0,0,0,0,0,0
7,3,32.787,15.429,13.2,20.1,4.1,0,43,81,0,0,0,6.7,0,0,0,0,0,0,0
1,1,31.938,14.165,12.1,13.7,5.2,0.6,100,91,0,0,0,0,0,0,0,0,0,0,0
2,1,33.315,14.228,13.3,16,6.1,0.2,93,87,0.1,0,0,0.5,0,0,0,0,0,0,0
3,1,32.542,13.599,15.7,19,10.3,0.6,90,84,0,0,0,1.2,0,0,0,0,0,0,0
4,1,32.743,12.71,15.9,20.5,10.8,0.1,67,82,0.4,0,0,3.7,0,0,0,0,0,0,0
5,1,31.674,12.242,14,20.3,5.1,0.5,37,83,0,0,0,6.4,0,0,0,0,0,0,0
6,2,30.449,11.775,13.7,19.6,5,0.2,57,84,0,0,0,6.1,0,0,0,0,0,0,1
7,3,32.052,11.745,7.7,13.3,6,0.4,57,90,0,0,0,2.4,0,0,0,0,0,0,0
1,1,32.127,11.807,9.6,15.3,5.8,2.7,33,74,3.1,0,0,6.6,0,0,0,0,0,0,0
2,1,31.903,11.203,10.4,16.5,-0.2,0.4,47,77,0,0,0,7.9,0,0,0,0,0,0,0
3,1,30.545,11.145,12.6,23.1,2.8,1.5,30,74,0,0,0,8.8,1,1,0,0,0,0,0
4,1,33.751,10.784,12.9,17.3,6.6,2.9,60,71,0,0,0,5.6,0,0,0,0,0,0,0
5,1,36.705,10.227,12.8,16,3.1,0.8,97,83,0,0,0,0.8,0,0,0,0,0,0,0
6,2,47.465,10.173,17,19.6,12,1.6,93,75,7.2,0,0,1,1,0,0,0,0,0,0
7,3,93.503,18.103,14.9,16.5,12.8,1,100,95,2.5,0,0,0.1,0,0,0,0,0,0,0
1,1,331.648,54.071,15.4,17.9,9,1.2,97,94,33.1,0,0,0,0,0,0,0,0,0,1
2,1,740.74,164.983,13,18.1,8.8,2.6,67,72,33,0,0,6.3,1,1,0,0,0,0,1
3,1,416.601,149.12,11.1,15.2,4,1.2,57,87,6.7,0,0,2.8,0,0,0,0,0,0,0
4,1,260.425,129.287,10,11,4.3,0.2,100,96,0.1,0,0,0,0,0,0,0,0,0,0
5,1,292.785,142.681,12.7,13.5,10.5,0,100,97,15.4,0,0,0,0,0,0,0,0,0,0
6,2,355.943,156.888,14.7,16.1,8,0.6,100,91,15.7,0,0,0,0,0,0,0,0,0,0
7,3,245.075,141.779,14.9,16.5,13,0.4,100,86,0.1,0,0,0,0,0,0,0,0,0,0
1,1,192.402,113.559,13.6,15,10.5,0.2,100,89,0,0,0,0,0,0,0,0,0,0,0
2,1,152.682,121.658,13.6,14.6,10.1,0,100,95,5.3,0,0,0,0,0,0,0,0,0,0
3,1,153.783,126.945,12.6,15,12,0.4,93,92,4.4,0,0,0.6,0,0,0,0,0,0,0
4,1,151.892,111.07,12.6,17.2,8.2,0.5,47,92,1.1,0,0,4,0,0,0,0,0,0,0
5,1,125.819,105.652,12.1,13.8,5,1.1,97,86,0,0,0,0.3,0,0,0,0,0,0,0
6,2,104.632,98.985,11.9,14.5,5.3,1.6,93,84,0,0,0,2.5,0,0,0,0,0,0,0
7,3,91.885,91.49,14.5,16.6,7.5,1.6,80,77,0.1,0,0,1.3,0,0,0,0,0,0,0
1,1,83.868,82.037,15.3,18,13,3.4,47,76,0,0,0,3.1,1,0,0,0,0,0,0
2,1,82.75,72.235,13.7,16,10,2.5,83,80,0,0,0,0.2,1,0,0,0,0,0,0
3,1,79.676,62.973,9.7,14,8.3,1.6,57,85,0,0,0,1.5,0,0,0,0,0,0,0
4,1,72.324,56.512,8.8,12.2,2.3,1.1,70,76,0,0,0,3.5,0,0,0,0,0,0,0
5,1,73.306,52.991,7.2,10.5,-1.2,2.7,43,68,0,0,0,4.9,0,0,0,0,0,0,0
6,2,56.795,48.672,4.4,8.6,-2.6,2.8,20,59,0,0,0,7.7,0,0,0,0,0,0,0
7,3,55.049,45.871,3.2,5,-4.6,1.2,100,66,0,0,0,0,0,0,0,0,0,0,0
1,1,65.056,40.864,1.5,3.3,0.5,1.2,100,86,0.6,0,0,0,0,0,0,0,0,0,0
2,1,64.631,41.298,1.4,2.3,0,1.2,100,94,6.9,2,2,0,0,0,0,0,0,0,0
3,1,62.178,39.671,3.4,4.3,1.3,1.1,100,92,3.9,0,0,0,0,0,0,0,0,0,0
4,1,61.046,40.39,4.7,5.3,3.2,0,100,93,0.9,0,0,0,0,0,0,0,0,0,0
5,1,62.782,43.293,6,7.3,4.4,0.3,100,90,1.4,0,0,0,0,0,0,0,0,0,0
6,2,143.449,51.164,6.1,6.7,4.5,0.3,100,95,0.3,0,0,0,0,0,0,0,0,0,0
7,3,302.662,141.825,7.3,8.2,6.4,0,100,95,25.1,0,0,0,0,0,0,0,0,0,0
1,1,245.852,164.834,7,7.7,5.7,0.4,100,92,25.1,0,0,0,0,0,0,0,0,0,0
2,1,202.511,152.412,4.6,7,5,2,97,84,2.2,0,0,0,0,0,0,0,0,0,0
3,1,151.857,109.681,1.4,4.1,-0.7,7.4,70,74,0,0,0,3.9,0,0,0,0,0,0,0
4,1,114.577,84.714,-0.5,2.6,-9,1.2,50,72,0,0,0,7.5,0,0,0,0,0,0,0
5,1,94.874,70.006,-0.5,1,-1.9,1.7,90,71,0,0,0,0,0,0,0,0,0,0,0
6,2,89.26,57.049,0.8,4,-4,0.4,70,76,0,0,0,2.9,0,0,0,0,0,0,0
7,3,77.985,51.323,4.9,7.5,-4.5,1.3,87,84,0.1,0,0,0,0,0,0,0,0,0,1
1,1,77.474,43.928,7.9,11.2,3.7,0.9,90,85,0.8,0,0,0.4,0,0,0,0,0,0,0
2,1,71.984,41.511,8.7,13.7,3,0.3,30,82,0,0,0,5.9,0,0,0,0,0,0,0
3,1,69.83,36.343,6,7.6,4.5,0,90,73,0,0,0,0.4,0,0,0,0,0,0,0
4,1,63.773,35.564,3.8,5.5,1.6,0.8,83,80,0.1,0,0,1.2,0,0,0,0,0,0,0
5,1,64.061,33.518,6.9,9.6,1,1.8,80,85,1.2,0,0,3,1,0,0,0,0,0,0
6,2,64.385,41.207,4.3,9.1,6,1.7,57,89,6.3,0,0,0.9,1,0,0,0,0,0,0
7,3,61.914,61.384,2.4,7.4,-1.7,0.8,83,94,2.9,0,0,2.6,0,0,0,0,0,0,0
1,1,61.444,63.493,1.5,4.4,-1.2,1,97,98,0,0,0,0,0,0,0,0,0,0,0
2,1,56.387,53.435,2,8.6,-3.3,1.5,60,70,0,0,0,6.1,0,0,0,0,0,0,0
3,1,57.031,47.787,-0.7,4.1,-8.5,0.7,37,80,0,0,0,2.9,0,0,0,0,0,0,0
4,1,54.062,42.73,-0.4,1.2,-9.2,1.3,93,86,0,0,0,0.5,0,0,0,0,0,0,0
5,1,54.42,39.733,0.3,1.2,-0.9,3.1,100,79,0.2,0,0,0,0,0,0,0,0,0,0
6,2,49.964,37.018,-1,2.1,-3.7,1.1,67,81,0,0,0,6.1,0,0,0,0,0,0,0
7,3,47.535,34.086,-1.6,0.9,-6.5,0.8,80,80,0,0,0,3.8,0,0,0,0,0,0,0
1,1,48.16,31.954,-1.1,1.6,-5.3,0.4,73,83,0,0,0,0,0,0,0,0,0,0,0
2,1,49.012,29.8,-1,0.5,-9.6,0.3,93,89,0,0,0,0.1,0,0,0,0,0,0,0
3,1,45.006,26.664,0.9,2,-5.2,0.8,100,85,0,0,0,0,0,0,0,0,0,0,0
4,1,43.039,25.808,1.9,2.6,-1.3,0.2,100,91,0.2,0,0,0,0,0,0,0,0,0,0
5,1,44.086,25.222,4.4,6.1,0.3,2,97,90,0.5,0,0,0,0,0,0,0,0,0,0
6,2,41.56,25.274,6.4,9,4.8,2.3,93,80,0,0,0,0,0,0,0,0,0,0,0
7,3,38.24,27.044,5.8,8.5,2.4,0.8,77,83,0,0,0,3.8,0,0,0,0,0,0,0
1,1,40.237,28.197,6.4,11.6,5.1,1.6,43,71,0,0,0,2.5,1,0,0,0,0,0,0
2,1,41.262,27.96,-0.2,5,-7.3,0.2,50,85,0,0,0,1.7,0,0,0,0,0,0,0
3,1,39.488,26.577,-0.5,4.2,-9.3,0.5,53,88,0,0,0,2.5,0,0,0,0,0,0,0
4,1,39.815,25.63,-0.7,6.1,-9.2,0,10,86,0,0,0,5.1,0,0,0,0,0,0,0
5,1,40.652,23.877,-0.6,2.5,-7.7,0,70,89,0,0,0,0.3,0,0,0,0,0,0,0
6,2,40.15,23.131,-1.2,3.4,-9,0.4,67,89,0,0,0,2.7,0,0,0,0,0,0,0
7,3,37.78,22.353,-0.2,2.1,-6.6,0.9,67,93,0,0,0,1.9,0,0,0,0,0,0,0
1,1,36.498,21.346,2.5,6.6,-5.9,0.3,63,83,0,0,0,1.9,0,0,0,0,0,0,0
